timestamp;from;to;memo
2021-11-04T13:56:34.500;juliomonteir;gradinagruiu;for being so effective and diligent, for all your CARE with SEEDS!
2021-11-04T13:56:24.000;juliomonteir;nomik22kimon;for being this awesome creature, and supporting and inspiring in my growth!
2021-11-04T13:56:13.500;juliomonteir;dianabehrens;for all the inspiration, laughs, crying and your amazing company!
2021-11-04T13:56:02.000;juliomonteir;anahealingwo;for ever provoking change inside me reflecting myself in the face of the Torment!
2021-11-04T13:55:52.000;juliomonteir;minosdoros55;for doing your amazing best on facilitating RE
2021-11-04T13:55:41.500;juliomonteir;thealchemist;for doing your best to open your heart withstanding critics and judgement to grow 🙏
2021-11-04T13:55:26.500;juliomonteir;apostolseeds;for keeping the RE train going, diligently even in face of a storm.
2021-11-04T13:54:53.000;juliomonteir;milaecdap141;for being so caring and attentive and enriching the RE space so beautifully!
2021-11-04T13:54:42.000;juliomonteir;markflowfarm;for listening deeply, understanding and embracing the new SEEDS economics proposal!
2021-11-04T13:54:30.000;juliomonteir;cometogether;for inspiring me to keep faith in SEEDS and help craft a new go live proposal!
2021-11-04T08:18:21.000;ombombadi11o;taeolroiya32;How could I forget you... good that you already know my gratitude.
2021-11-04T07:29:08.500;f4b1vuk1seed;paulcarvalho;holding space for the labs
2021-11-04T07:28:48.500;f4b1vuk1seed;twakefield14;his engament for earth regenerators and Samara Trust bringimg his wisdom and intuition on multiple forms of capital
2021-11-04T07:28:28.500;f4b1vuk1seed;kiranbhealth;her beautiful proposal and continued attendance ro proposal nursery
2021-11-04T07:28:03.500;f4b1vuk1seed;dayagardunha;being a friend and a true CAT
2021-11-04T07:27:41.000;f4b1vuk1seed;chuckseattle;for his continued input and wisdom on SEEDS economics and governance
2021-11-04T07:27:13.000;f4b1vuk1seed;dandyshaman1;and Ray for their vision with Spres Seeds and petals
2021-11-04T07:26:42.000;f4b1vuk1seed;anahealingwo;her work and perspectives on the Redwood Governance proposal
2021-11-04T07:26:13.000;f4b1vuk1seed;minosdoros55;leading the way for the Redwood Governance Proposal
2021-11-04T07:25:46.000;f4b1vuk1seed;minosdoros55;providing structure and frameworks to the seeds ecosystem
2021-11-04T07:05:02.500;bigorna12345;dayagardunha;showing me the entrance to the rabbit hole !
2021-11-03T19:20:08.500;minosdoros55;rainskyarel5;for your integrity
2021-11-03T19:19:10.000;minosdoros55;nomik22kimon; for the amazing wisdom that you hold and beautiful love that you share in this ecosystem
2021-11-03T19:10:10.000;bigorna12345;milaecdap141;your endless commitment and energy !
2021-11-03T19:06:53.000;minosdoros55;gradinagruiu;for the unlimited energy to support everyone in SEEDS to find what they need
2021-11-03T19:06:28.500;minosdoros55;anahealingwo;for bringing your intense energy into my life and for nurturing our feminine energies 🙂
2021-11-03T19:06:02.500;minosdoros55;cassiuscarv1;for being a beautiful lovely being with amazing gifts
2021-11-03T19:05:35.000;minosdoros55;raviresck123;for being awesome and for everything you brought to SEEDS
2021-11-03T19:05:12.500;minosdoros55;milaecdap141; for bringing your beautiful gifts in this ecosystem and caring for the community
2021-11-03T19:04:50.500;minosdoros55;ombombadi11o; for your loving energy and for your dedication to the process with H&N
